rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
0,陈永川,A5100359081,exact,,False,494,round4_maxpapers
1,徐超江,A5104169339,exact,,False,392,round4_maxpapers
2,席南华,A5054373059,exact,,False,49,round4_maxpapers
3,杨卫,A5100781368,exact,,False,992,round4_maxpapers
4,张洪起,A5100671913,exact,,False,322,round4_maxpapers
5,彭练矛,A5083743480,exact,,False,682,round4_maxpapers
6,王牧,A5101694733,exact,,False,1672,round4_maxpapers
7,罗俊,A5100749903,exact,,False,675,round4_maxpapers
8,冯守华,A5101519300,exact,,False,484,round4_maxpapers
9,姜标,A5109335984,exact,,False,316,round4_maxpapers
10,郑兰荪,A5033083880,exact,,False,2163,round4_maxpapers
11,赵新生,A5101957666,exact,,False,269,round4_maxpapers
12,何天白,A5101108001,exact,,False,143,round4_maxpapers
13,李静海,A5100402504,exact,,False,1744,round4_maxpapers
14,邓子新,A5100781054,exact,,False,606,round4_maxpapers
15,宋微波,A5063217724,exact,,False,458,round4_maxpapers
16,方精云,A5101890983,exact,,False,644,round4_maxpapers
17,王志新,A5100687842,exact,,False,1518,round4_maxpapers
18,李伯良,A5100643214,exact,,False,877,round4_maxpapers
19,顾晓松,A5088536927,exact,,False,375,round4_maxpapers
20,王宪,A5100352414,exact,,False,418,round4_maxpapers
21,孙方臻,A5086434651,exact,,False,924,round4_maxpapers
22,陈建国,A5107886267,exact,,False,588,round4_maxpapers
23,桂建芳,A5021128215,exact,,False,436,round4_maxpapers
24,杨焕明,A5101717144,exact,,False,1777,round4_maxpapers
25,陈竺,A5100449751,exact,,False,463,round4_maxpapers
26,张福锁,A5041917108,exact,,False,897,round4_maxpapers
27,王晓良,A5100369125,exact,,False,356,round4_maxpapers
28,姚檀栋,A5070303297,exact,,False,640,round4_maxpapers
29,孙卫国,A5086434651,exact,,False,924,round4_maxpapers
30,郑永飞,A5038855167,exact,,False,598,round4_maxpapers
31,彭平安,A5041332589,exact,,False,53,round4_maxpapers
32,朱日祥,A5084344063,exact,,False,409,round4_maxpapers
33,张禹慎,A5108166978,exact,,False,1586,round4_maxpapers
34,穆穆,A5110659314,exact,,False,179,round4_maxpapers
35,徐惠彬,A5100297527,exact,,False,234,round4_maxpapers
36,魏炳波,A5026176853,exact,,False,336,round4_maxpapers
37,谢和平,A5004928216,exact,,False,624,round4_maxpapers
38,樊建人,A5013540603,exact,,False,402,round4_maxpapers
39,王兆印,A5100687842,exact,,False,1518,round4_maxpapers
40,刘忠范,A5108047623,exact,,False,1139,round4_maxpapers
41,李建保,A5100402504,exact,,False,1744,round4_maxpapers
42,李晓光,A5100362303,exact,,False,831,round4_maxpapers
43,杨义先,A5100743975,exact,,False,2388,round4_maxpapers
44,何力,A5100317861,exact,,False,437,round4_maxpapers
45,郭雷,A5100344279,exact,,False,651,round4_maxpapers
46,陈良尧,A5108420105,exact,,False,261,round4_maxpapers
47,谭建荣,A5039962474,exact,,False,530,round4_maxpapers
48,胡鞍钢,A5019029825,exact,,False,205,round4_maxpapers
49,袁亚湘,A5111382617,exact,,False,659,round4_maxpapers
50,张伟平,A5100657957,exact,,False,491,round4_maxpapers
51,程崇庆,A5107946030,exact,,False,154,round4_maxpapers
52,张继平,A5115587832,exact,,False,320,round4_maxpapers
53,洪友士,A5113136485,exact,,False,149,round4_maxpapers
54,顾元宪,A5100917059,exact,,False,50,round4_maxpapers
55,郑泉水,A5083186038,exact,,False,240,round4_maxpapers
56,甘为群,A5113887663,exact,,False,233,round4_maxpapers
57,陆卫,A5100335597,exact,,False,965,round4_maxpapers
58,侯晓远,A5020716271,exact,,False,228,round4_maxpapers
59,郑杭,A5101613589,exact,,False,240,round4_maxpapers
60,龚旗煌,A5072771171,exact,,False,1476,round4_maxpapers
61,李定,A5002509297,exact,,False,1183,round4_maxpapers
62,严纯华,A5100713322,exact,,False,828,round4_maxpapers
63,麻生明,A5110002574,exact,,False,1064,round4_maxpapers
64,解金春,A5110395520,exact,,False,38,round4_maxpapers
65,白春礼,A5064172785,exact,,False,244,round4_maxpapers
66,包信和,A5045204358,exact,,False,1134,round4_maxpapers
67,来鲁华,A5064049271,exact,,False,502,round4_maxpapers
68,孙世刚,A5100673667,exact,,False,941,round4_maxpapers
69,苏志国,A5087729175,exact,,False,506,round4_maxpapers
70,阮力,A5083200817,exact,,False,221,round4_maxpapers
71,赵进东,A5070851446,exact,,False,1221,round4_maxpapers
72,武维华,A5074840856,exact,,False,286,round4_maxpapers
73,冯明光,A5085331272,exact,,False,1405,round4_maxpapers
74,李林,A5100412926,exact,,False,2838,round4_maxpapers
75,刘德培,A5071197747,exact,,False,301,round4_maxpapers
76,屈良鹊,A5109890337,exact,,False,28,round4_maxpapers
77,唐建国,A5100708602,exact,,False,686,round4_maxpapers
78,周专,A5004532333,exact,,False,206,round4_maxpapers
79,张旭,A5080918583,exact,,False,1102,round4_maxpapers
80,陈赛娟,A5106526083,exact,,False,1436,round4_maxpapers
81,邓汉湘,A5011023696,exact,,False,156,round4_maxpapers
82,张亚平,A5108166978,exact,,False,1586,round4_maxpapers
83,张启发,A5031926979,exact,,False,297,round4_maxpapers
84,余龙,A5100345898,exact,,False,497,round4_maxpapers
85,冯根生,A5025814619,exact,,False,252,round4_maxpapers
86,李家洋,A5100402504,exact,,False,1744,round4_maxpapers
87,彭友良,A5068346443,exact,,False,190,round4_maxpapers
88,李晓林,A5100362303,exact,,False,831,round4_maxpapers
89,樊代明,A5100715251,exact,,False,783,round4_maxpapers
90,寿成超,A5003697485,exact,,False,158,round4_maxpapers
91,曹亚,A5001123718,exact,,False,503,round4_maxpapers
92,刘进,A5108047622,exact,,False,1259,round4_maxpapers
93,付小兵,A5089030416,exact,,False,718,round4_maxpapers
94,郝小江,A5024694580,exact,,False,899,round4_maxpapers
95,龚健雅,A5100574336,exact,,False,444,round4_maxpapers
96,陶澍,A5025961370,exact,,False,1154,round4_maxpapers
97,丁仲礼,A5104114129,exact,,False,140,round4_maxpapers
98,黄润秋,A5112675054,exact,,False,343,round4_maxpapers
99,吴庆余,A5069570157,exact,,False,505,round4_maxpapers
100,吴汉宁,A5100341986,exact,,False,344,round4_maxpapers
101,万卫星,A5037227927,exact,,False,589,round4_maxpapers
102,吴北婴,A5101811709,exact,,False,73,round4_maxpapers
